rank,sentence,romanization,original_order,frequency,complexity,grammar,structural,similarity,similar_to,final_score
210,我哋未食飯。,ngǒ dei mei sikfaan 。,647,57.0,24.7,0.0,14.8,5.7,,49.97
211,唔好怪佢。,m hóu gwâai kěoi 。,740,55.3,21.3,0.0,12.8,6.7,,49.91
212,過馬路啦。,gwô mǎalou lāa 。,151,56.4,22.3,0.0,13.4,8.0,,49.88
213,我可唔可以借呢張CD呀？,ngǒ hó m hójǐ zê nèi zōeng Cdī āa ？,734,67.6,39.1,0.0,23.5,11.1,,49.85
214,屌你老母！,díu něi lǒumóu ！,21,54.5,21.0,0.0,12.6,5.7,,49.82
215,屌你老母。,díu něi lǒumóu 。,124,54.5,21.0,0.0,12.6,5.7,,49.82
216,唔好上當。,m hóu sǒengdông 。,196,54.7,21.0,0.0,12.6,6.7,,49.74
217,唔好飲醉呀。,m hóu jámzêoi āa 。,213,56.5,24.7,0.0,14.8,5.7,,49.72
218,有幾難呀？,jǎu géinàan āa ？,744,54.7,21.0,0.0,12.6,6.7,,49.72
219,跟住我嚟吖。,gān zyu ngǒ lèi āa 。,534,57.3,25.4,0.0,15.2,6.7,,49.68
220,望咩呀望？,mong mē āa mong ？,992,55.3,20.1,0.0,12.0,10.0,,49.64
221,可唔可以幫嚇我呀?,hó m hójǐ bōnghâak ngǒ āa ?,257,64.7,34.1,0.0,20.4,12.5,,49.63
222,我鐘意蛋糕。,ngǒ zūngjî daangōu 。,81,55.2,24.8,0.0,14.8,2.9,,49.63
223,唔好唔開心啦。,m hóu m hōisām lāa 。,110,59.6,27.2,0.0,16.3,10.0,,49.62
224,早餐準備好未呀？,zóucāan zéonbei hóu mei āa ？,482,59.8,31.6,0.0,18.9,4.0,,49.61
225,可唔可以借俾我呀？,hó m hójǐ zê béi ngǒ āa ？,256,65.3,35.1,0.0,21.1,12.5,,49.60
226,冇人幫我。,mǒu jàn bōng ngǒ 。,625,54.6,21.3,0.0,12.8,6.7,,49.59
227,你有冇養寵物㗎？,něi jǎu mǒu jǒeng cúngmat gâa ？,680,57.9,28.0,0.0,16.8,5.0,,49.56
228,我好肚餓。,ngǒ hóu tǒu ngo 。,56,55.1,21.3,0.0,12.8,8.0,,49.56
229,蕾拉好唔開心。,lèoi lāai hóu m hōisām 。,663,59.2,28.5,0.0,17.1,7.5,,49.53
230,我鍾意呢隻狗。,ngǒ zūng jî nèi zêk gáu 。,241,58.8,29.5,0.0,17.7,5.0,,49.53
231,我同佢握咗手。,ngǒ tùng kěoi āak zó sáu 。,906,58.8,29.5,0.0,17.7,5.7,,49.41
232,唔好開窗。,m hóu hōicōeng 。,741,54.1,21.0,0.0,12.6,6.7,,49.41
233,你可以點樣幫到我？,něi hójǐ dímjóeng bōngdôu ngǒ ？,826,62.0,34.7,0.0,20.8,6.0,,49.39
234,佢同我一樣咁高。,kěoi tùng ngǒ jātjoeng gâm gōu 。,477,60.6,33.6,0.0,20.1,4.4,,49.35
235,你可唔可以講多次呀？,něi hó m hójǐ góng dōcî āa ？,846,64.5,37.9,0.0,22.8,8.0,,49.29
236,你本書喺呢度。,něi búnsyū hái nèi dou 。,394,58.6,29.5,0.0,17.7,6.0,,49.25
237,你同我講緊嘢呀？,něi tùng ngǒ gónggán jě āa ？,792,60.6,32.4,0.0,19.4,6.7,,49.23
238,唔好咁仆街啦。,m hóu gâm buk gāai lāa 。,768,59.5,29.5,0.0,17.7,8.6,,49.21
239,呢支筆係我㗎。,nèi zībāt hai ngǒ gâa 。,914,54.9,24.7,0.0,14.8,4.4,,49.18
240,我飲緊咖啡。,ngǒ jámgán gâafē 。,635,54.3,24.8,0.0,14.8,2.9,,49.15
241,佢一定要去嗰度。,kěoi jātding jîu hêoi gó dou 。,401,61.2,32.4,0.0,19.4,8.9,,49.11
242,我冇投票俾你。,ngǒ mǒu tàupîu béi něi 。,772,57.6,28.5,0.0,17.1,5.7,,49.10
243,你正仆街嚟。,něi zîngbuk gāai lèi 。,136,55.0,24.7,0.0,14.8,5.0,,49.08
244,邊度痛呀？,bīndou tûng āa ？,356,52.0,21.0,0.0,12.6,3.3,,49.04
245,佢成日都咁忙嘅。,kěoi sìngjat dōu gâm mòng gê 。,318,59.8,33.6,0.0,20.1,4.0,,49.00
246,你有冇安全套呀？,něi jǎu mǒu ōncyùntôu āa ？,679,59.9,31.6,0.0,18.9,7.5,,48.99
247,Tom會死。,tīom wúi séi 。,552,49.9,13.2,0.0,7.9,10.0,,48.99
248,我等緊佢。,ngǒ dáng gán kěoi 。,529,53.4,21.3,0.0,12.8,6.7,,48.97
249,佢好上鏡。,kěoi hóu soeng gêng 。,876,53.4,21.3,0.0,12.8,6.7,,48.97
250,佢好靚啊！,kěoi hóu lêng âa ！,623,53.4,21.3,0.0,12.8,6.7,,48.96
251,我送你返屋企啦。,ngǒ sûng něi fáan ūkkéi lāa 。,693,59.2,32.4,0.0,19.4,5.0,,48.85
252,佢拯救咗件事。,kěoi cínggâu zó gín si 。,900,56.3,28.5,0.0,17.1,4.0,,48.82
253,我唔怕死。,ngǒ m pâaséi 。,988,53.4,21.0,0.0,12.6,8.0,,48.82
254,你做咩唔同我講呀？,něi zou mē m tùng ngǒgóng āa ？,966,63.0,36.4,0.0,21.8,8.9,,48.81
255,冇用嘅。,mǒu jung gê 。,193,49.5,17.2,0.0,10.3,4.0,,48.78
256,我準備好喇。,ngǒ zéonbei hóu lāa 。,39,55.0,24.7,0.0,14.8,6.7,,48.76
257,試嚇啦。,sîhǎa lāa 。,146,49.8,17.8,0.0,10.7,4.0,,48.76
258,加一倍藥量。,gāa jātpǔi joekloeng 。,216,53.7,24.8,0.0,14.8,3.3,,48.74
259,套戲好唔好睇呀？,tôuhêi hóu m hóu tái āa ？,491,58.2,31.2,0.0,18.7,5.0,,48.73
260,佢差唔多走喇。,kěoi cāa m dō záu lāa 。,777,56.9,29.5,0.0,17.7,4.4,,48.72
261,嗰D唔系我既鞋。,gó dī m hai ngǒ gêi hàai 。,813,57.3,29.5,0.0,17.7,5.7,,48.65
262,我係你條仔。,ngǒ hai něi tìuzái 。,442,54.7,24.7,0.0,14.8,6.7,,48.61
263,我鍾意打網球。,ngǒ zūng jî dáamǒngkàu 。,774,56.6,28.5,0.0,17.1,5.7,,48.60
264,我依舊鍾意你。,ngǒ jīgau zūng jî něi 。,312,56.6,28.5,0.0,17.1,5.7,,48.60
265,我哋搭的士去啦，好冇？,ngǒ dei dâap dīksí hêoi lāa ， hóu mǒu ？,731,63.0,40.4,0.0,24.2,4.0,,48.58
266,等我諗嚇先。,dáng ngǒ nám hâak sīn 。,291,54.9,24.7,0.0,14.8,7.5,,48.57
267,我去過京都。,ngǒ hêoigwô gīngdōu 。,638,54.3,24.8,0.0,14.8,5.7,,48.56
268,我冇胃口。,ngǒ mǒu waiháu 。,428,51.7,21.0,0.0,12.6,5.7,,48.40
269,佢好有影響力。,kěoi hóu jǎu jínghóenglik 。,377,56.5,29.5,0.0,17.7,5.0,,48.39
270,今日好熱呀。,gāmjat hóujit āa 。,759,52.8,24.8,0.0,14.8,2.9,,48.38
271,你玩得開唔開心呀？,něi wun dāk hōi m hōisām āa ？,943,59.7,35.1,0.0,21.1,5.0,,48.31
272,唔好喺呢度跑嚟跑去。,m hóu hái nèi dou páau lèi páau hêoi 。,184,63.3,40.5,0.0,24.3,6.0,,48.30
273,我今日好高興認識你。,ngǒ gāmjat hóu gōuhîng jingsīk něi 。,969,62.3,38.2,0.0,22.9,7.3,,48.24
274,唔好咁貪心啦。,m hóu gâm tāamsām lāa 。,234,57.0,28.5,0.0,17.1,8.6,,48.23
275,唔好嬲啦！,m hóu nāu lāa ！,94,54.0,21.3,0.0,12.8,12.0,,48.22
276,我唔可以冇咗你。,ngǒ m hójǐ mǒu zó něi 。,925,59.8,32.4,0.0,19.4,10.0,,48.18
277,佢成日都咁講。,kěoi sìngjat dōu gâm góng 。,558,55.8,29.5,0.0,17.7,4.4,,48.15
278,同我哋一齊食晏啦。,tùng ngǒ dei jātcài sikâan lāa 。,821,59.2,35.3,0.0,21.2,4.4,,48.12
279,想創你個心呀！,sóengcông něi gô sām āa ！,169,56.7,28.5,0.0,17.1,8.6,,48.10
280,揀我哋啦！,gáan ngǒ dei lāa ！,34,52.1,21.3,0.0,12.8,8.0,,48.07
281,我見過你女朋友。,ngǒgîngwô něi něoipàngjǎu 。,800,58.5,32.2,0.0,19.3,7.5,,48.06
282,呢本係書。,nèi bún hai syū 。,158,49.9,21.3,0.0,12.8,2.5,,48.04
283,用嚇你個腦啦！,jung hâak něi gônǒu lāa ！,140,54.9,28.0,0.0,16.8,5.0,,48.04
284,邊度有得買磚呀？,bīndou jǎu dāk mǎaizyūn āa ？,941,56.8,31.6,0.0,18.9,4.4,,48.02
285,你有冇鉛筆呀？,něi jǎu mǒu jyùnbāt āa ？,770,56.5,28.5,0.0,17.1,8.6,,48.00
286,佢講得出就做得到。,kěoi góng dākcēot zau zou dākdôu 。,407,58.1,34.1,0.0,20.4,4.4,,47.92
287,你食唔食肉㗎？,něi sik m sikjuk gâa ？,233,53.1,23.4,0.0,14.1,8.0,,47.91
288,Tom真係好勁。,tīom zān hai hóu ging 。,490,49.9,21.3,0.0,12.8,3.3,,47.89
289,我唔飲茶。,ngǒ m jámcàa 。,350,51.7,21.3,0.0,12.8,8.0,,47.87
290,食條香蕉啦！,siktìu hōengzīu lāa ！,104,54.6,24.8,0.0,14.8,10.0,,47.86
291,狗糧好貴。,gáu lòeng hóu gwâi 。,739,49.8,21.3,0.0,12.8,3.3,,47.84
292,我都有咁嘅感覺。,ngǒ dōu jǎu gâm gê gámgôk 。,251,57.8,33.6,0.0,20.1,5.0,,47.82
293,唔好再俾人呃喇。,m hóu zôi béi jàn āk lāa 。,793,57.6,33.6,0.0,20.1,4.4,,47.82
294,我唔鍾意呢首歌。,ngǒ m zūng jî nèi sáugō 。,926,57.2,32.4,0.0,19.4,5.5,,47.78
295,鬼唔知咩。,gwái m zī mē 。,157,51.0,21.3,0.0,12.8,6.7,,47.77
296,我哋新嚟㗎。,ngǒ dei sān lèi gâa 。,232,51.0,21.3,0.0,12.8,6.7,,47.75
297,不作評論。,bāt zôk pìngleon 。,57,50.0,22.3,0.0,13.4,2.9,,47.72
298,呢件事搞到佢冇咗份工。,nèi gín si gáau dôu kěoi mǒu zó fan gūng 。,864,64.3,45.8,0.0,27.5,3.6,,47.66
299,你冇出現。,něi mǒu cēotjin 。,433,49.5,21.0,0.0,12.6,4.0,,47.65
300,個批好好食。,gôpāi hóuhóu sik 。,763,51.7,23.5,0.0,14.1,5.7,,47.65
301,我哋係男人。,ngǒ dei hai nàamjàn 。,66,52.1,24.7,0.0,14.8,5.7,,47.53
302,其實有冇呢個字㗎？,kèisat jǎu mǒu nèi gô zi gâa ？,602,56.3,32.4,0.0,19.4,4.4,,47.52
303,車站就喺呢度附近。,cēzaam zau hái nèi dou fugan 。,839,57.7,35.3,0.0,21.2,3.6,,47.50
304,邊度有得買咖啡呀？,bīndou jǎu dāk mǎai gâafē āa ？,963,57.8,35.3,0.0,21.2,4.0,,47.49
305,我哋做運動。,ngǒ dei zou wandung 。,82,52.2,24.7,0.0,14.8,6.7,,47.38
306,我仲未準備好。,ngǒzungmei zéonbei hóu 。,384,54.1,28.5,0.0,17.1,5.7,,47.34
307,我真係好想去巴黎睇嚇。,ngǒ zān hai hóu sóeng hêoi bāalài tái hâak 。,974,62.8,44.4,0.0,26.6,3.6,,47.33
308,好夜喇。,hóuje lāa 。,191,46.9,17.8,0.0,10.7,4.0,,47.30
309,唔好驚！,m hóu gīng ！,186,48.1,17.2,0.0,10.3,8.0,,47.26
310,我唔鍾意跳舞。,ngǒ m zūng jî tîumǒu 。,656,53.8,28.5,0.0,17.1,5.7,,47.20
311,棄船呀！,hêisyùn āa ！,86,46.6,17.8,0.0,10.7,4.0,,47.19
312,我又飲多咗喇。,ngǒ jau jám dō zó lāa 。,902,54.3,29.5,0.0,17.7,5.7,,47.18
313,我上錯咗巴士。,ngǒ soeng cô zó bāasí 。,903,53.6,28.5,0.0,17.1,5.7,,47.11
314,冇人受傷。,mǒu jàn sausōeng 。,203,49.5,21.0,0.0,12.6,6.7,,47.10
315,考試加油呀！,háausî gāajàu āa ！,753,52.2,24.8,0.0,14.8,8.0,,47.10
316,我個肚好痛。,ngǒgô tǒuhóu tûng 。,637,51.7,24.8,0.0,14.8,6.7,,47.09
317,我好驚擳。,ngǒ hóu gīng 擳 。,100,50.0,21.3,0.0,12.8,8.0,,46.99
318,佢手車好屎。,kěoi sáu cē hóu sí 。,634,51.5,25.4,0.0,15.2,5.7,,46.97
319,我聽到爆炸聲。,ngǒ tēngdôu bâauzâasīng 。,459,52.7,28.5,0.0,17.1,4.4,,46.91
320,佢喊咗成晚。,kěoi hâam zó sìng mǎan 。,891,51.0,25.4,0.0,15.2,5.0,,46.88
321,你幾時得閒呀？,něi géisì dākhàan āa ？,389,52.8,28.5,0.0,17.1,5.0,,46.85
322,梗係啦。,gáng hai lāa 。,150,45.6,17.2,0.0,10.3,4.0,,46.84
323,阿Tom好勁。,âa tīom hóuging 。,315,46.9,17.8,0.0,10.7,6.7,,46.79
324,唔痛喇。,m tûng lāa 。,339,45.5,17.2,0.0,10.3,4.0,,46.77
325,呢道門點鎖都鎖唔到。,nèi dou mùndím sódōusó m dôu 。,726,57.9,37.0,0.0,22.2,5.5,,46.74
326,呢個世界有冇外星人㗎？,nèi gô sâigâai jǎu mǒu ngoisīngjàn gâa ？,264,58.8,38.2,0.0,22.9,6.0,,46.73
327,落緊雪。,lokgán syût 。,89,45.2,17.8,0.0,10.7,2.9,,46.70
328,我真係好肚餓。,ngǒ zān hai hóu tǒu ngo 。,653,53.4,29.5,0.0,17.7,5.7,,46.69
329,我哋今晚出街吖？,ngǒ dei gāmmǎan cēotgāai āa ？,694,54.7,31.6,0.0,18.9,6.0,,46.68
330,佢打咗我兩下。,kěoi dáa zó ngǒ lǒenghǎa 。,239,53.2,29.5,0.0,17.7,5.7,,46.63
331,你點呀？,něidím āa ？,72,47.1,17.8,0.0,10.7,8.0,,46.60
332,我英文唔係好好。,ngǒ jīngmàn m hai hóuhóu 。,933,54.4,30.3,0.0,18.2,7.5,,46.59
333,嘩，雪呀！,wāa ， syût āa ！,20,45.1,17.2,0.0,10.3,4.0,,46.58
334,唔好企咁埋。,m hóu kěi gâm màai 。,751,50.7,25.4,0.0,15.2,5.7,,46.57
335,如果我識飛就好喇！,jyùgwó ngǒsīk fēi zau hóu lāa ！,601,56.6,35.3,0.0,21.2,6.0,,46.52
336,佢而家遊緊水。,kěoi jì gāa jàu gán séoi 。,381,52.2,29.5,0.0,17.7,4.0,,46.43
337,我哋可以即刻喐手。,ngǒ dei hójǐ zīkhāk jūk sáu 。,962,56.4,35.3,0.0,21.2,6.0,,46.40
338,我餐餐都出街食。,ngǒ cāancāan dōu cēot gāaisik 。,319,52.9,30.3,0.0,18.2,5.0,,46.36
339,再差嘅我都見過。,zôi cāa gê ngǒ dōu gîn gwô 。,252,54.8,33.6,0.0,20.1,5.0,,46.33
340,咁大隻狗嘅！,gâm daaizêk gáu gê ！,164,50.1,25.4,0.0,15.2,5.7,,46.28
341,嗰啲材料好唔好？,gó dī còilíu hóu m hóu ？,803,53.1,31.2,0.0,18.7,5.0,,46.21
342,唔係我哋做㗎。,m hai ngǒ dei zou gâa 。,908,50.6,25.4,0.0,15.2,7.5,,46.20
343,今日好凍。,gāmjat hóudûng 。,201,47.1,22.3,0.0,13.4,3.3,,46.17
344,我好鍾意你個口音。,ngǒ hóu zūng jî něi gô háujām 。,499,56.5,36.4,0.0,21.8,6.0,,46.15
345,我咩都聽到曬。,ngǒ mē dōu tēngdôu sâai 。,458,53.8,29.5,0.0,17.7,10.0,,46.07
346,佢身體好弱。,kěoi sāntái hóujoek 。,755,49.6,25.4,0.0,15.2,5.7,,46.05
347,盲喇。,màanglāa 。,522,43.1,16.2,0.0,9.7,3.3,,46.03
348,係食物呀！,hai sikmat āa ！,5,46.0,21.0,0.0,12.6,3.3,,46.01
349,生日快樂，Muriel!,sāangjatfâailok ， Muriel !,977,46.4,22.3,0.0,13.4,2.5,,46.00
350,夏天過成點呀？,haatīn gwôsìngdím āa ？,563,50.1,28.5,0.0,17.1,2.5,,45.98
351,今日幾暖。,gāmjat géinyǔn 。,202,46.3,22.3,0.0,13.4,2.5,,45.97
352,你哋而家喺邊？,něi dei jì gāa hái bīn ？,915,51.1,29.5,0.0,17.7,4.0,,45.92
353,唔該你唔好煩我。,m gōi něi m hóufàan ngǒ 。,935,54.1,32.3,0.0,19.4,7.5,,45.84
354,你鍾唔鍾意我㗎？,něi zūng m zūng jî ngǒ gâa ？,178,51.3,28.2,0.0,16.9,6.7,,45.83
355,冇可能係真嘅。,mǒu hónàng hai zān gê 。,466,49.6,28.5,0.0,17.1,2.5,,45.77
356,佢哋叫佢做Jane。,kěoi dei gîu kěoi zou Jane 。,615,49.2,24.2,0.0,14.5,8.0,,45.76
357,呢度係839號房。,nèi dou hai 839 houfòng 。,330,48.3,24.7,0.0,14.8,5.0,,45.73
358,多謝曬你呀。,dōze sâai něi āa 。,107,48.5,24.7,0.0,14.8,5.7,,45.72
359,唔好笑佢啦。,m hóusîu kěoi lāa 。,434,50.2,24.7,0.0,14.8,10.0,,45.69
360,我好鍾意同你講嘢。,ngǒ hóu zūng jîtùng něigóng jě 。,831,54.9,35.3,0.0,21.2,6.0,,45.65
361,阿Tom好靚仔。,âa tīom hóu lêngzái 。,698,46.0,21.0,0.0,12.6,5.7,,45.57
362,佢仲記得你。,kěoi zung gêidāk něi 。,880,48.7,25.4,0.0,15.2,5.7,,45.57
363,喂，起身喇。,wâi ， héisān lāa 。,211,44.7,21.0,0.0,12.6,2.5,,45.56
364,放咗佢！,fông zó kěoi ！,74,43.0,17.2,0.0,10.3,4.0,,45.55
365,我好似發燒呀。,ngǒ hóucǐ fâatsīu āa 。,905,50.2,28.0,0.0,16.8,5.7,,45.54
366,佢係我最好嘅朋友。,kěoi hai ngǒ zêoihóu gê pàngjǎu 。,708,55.5,35.3,0.0,21.2,8.0,,45.53
367,我搵唔到阿Tim喎。,ngǒ wán m dôu âa tīim wô 。,336,51.3,29.5,0.0,17.7,6.7,,45.49
368,我冇飛。,ngǒ mǒu fēi 。,737,42.9,17.2,0.0,10.3,4.0,,45.45
369,我好驚貓頭鷹。,ngǒ hóu gīng māautàujīng 。,460,50.0,28.0,0.0,16.8,5.7,,45.45
370,呢個袋邊個架？,nèi gô dói bīngô gáa ？,392,47.8,26.8,0.0,16.1,2.2,,45.43
371,邊度有得買零食呀？,bīndou jǎu dāk mǎai lìngsik āa ？,964,53.6,35.3,0.0,21.2,4.0,,45.41
372,唔好唔記得我哋呀！,m hóu m gêidāk ngǒ dei āa ！,822,54.5,35.1,0.0,21.1,6.7,,45.38
373,Tom尖叫。,tīom zīmgîu 。,108,42.4,16.2,0.0,9.7,5.0,,45.33
374,我哋真係好掛住阿Tom。,ngǒ dei zān hai hóu gwâazyu âa tīom 。,521,56.0,36.4,0.0,21.8,8.9,,45.33
375,呢本書係我嘅。,nèi búnsyū hai ngǒ gê 。,387,50.0,28.5,0.0,17.1,5.7,,45.29
376,埋嚟我到吖。,màai lèi ngǒ dôu āa 。,212,48.5,25.4,0.0,15.2,6.7,,45.28
377,我一路期待緊㗎喇！,ngǒ jātlou kèidoi gán gâa lāa ！,500,51.3,31.6,0.0,18.9,4.4,,45.28
378,你好靚呀。,něihóu lêng āa 。,743,45.7,21.0,0.0,12.6,6.7,,45.22
379,食咗飯未呀？,sik zó faan mei āa ？,436,48.3,25.4,0.0,15.2,6.7,,45.21
380,你介唔介意我開電視呀？,něigâai m gâaijî ngǒhōi dinsi āa ？,729,56.4,39.9,0.0,23.9,5.0,,45.20
381,我飽喇。,ngǒ báau lāa 。,190,43.3,17.2,0.0,10.3,6.7,,45.16
382,阿Tom，你喺邊度呀？,âa tīom ， něi hái bīndou āa ？,518,50.0,29.5,0.0,17.7,5.0,,45.14
383,唔好返嚟。,m hóu fáan lèi 。,197,45.6,21.3,0.0,12.8,6.7,,45.07
384,你係咪新嚟㗎？,něi hai mǎi sān lèi gâa ？,301,47.4,25.4,0.0,15.2,5.0,,45.06
385,佢哋俾我走。,kěoi dei béi ngǒ záu 。,163,47.6,25.4,0.0,15.2,5.7,,45.05
386,你哋食唔食煙㗎？,něi dei sik m sikjīn gâa ？,177,48.9,27.2,0.0,16.3,6.7,,44.94
387,你係一個好有耐性嘅人。,něi hai jātgô hóu jǎu noisîng gê jàn 。,733,57.5,43.1,0.0,25.8,5.0,,44.82
388,不如坐低吖。,bātjyù zǒdāi āa 。,767,46.4,24.8,0.0,14.8,5.0,,44.79
389,我唔肚餓呀。,ngǒ m tǒu ngo āa 。,444,47.8,25.4,0.0,15.2,7.5,,44.77
390,邊度有得買地圖呀？,bīndou jǎu dāk mǎai deitòu āa ？,843,52.3,35.3,0.0,21.2,4.0,,44.75
391,我仲未知。,ngǒzung meizī 。,273,45.5,22.3,0.0,13.4,6.7,,44.73
392,佢唔食生魚。,kěoi m sik sāng jyù 。,997,45.8,25.4,0.0,15.2,2.9,,44.73
393,邊度有得買郵票呀？,bīndou jǎu dāk mǎai jàupîu āa ？,965,52.2,35.3,0.0,21.2,4.0,,44.70
394,我哋兩個都好驚。,ngǒ dei lǒenggô dōu hóu gīng 。,920,51.5,32.4,0.0,19.4,6.7,,44.69
395,我未夠勁。,ngǒ mei gâuging 。,527,43.3,21.0,0.0,12.6,3.3,,44.67
396,我識佢。,ngǒ sīk kěoi 。,50,41.2,17.2,0.0,10.3,4.0,,44.64
397,我俾人偷咗銀包。,ngǒ béi jàn tāu zó ngànbāau 。,927,50.7,32.4,0.0,19.4,5.0,,44.61
398,我忘記唔到佢。,ngǒ mònggêi m dôu kěoi 。,456,48.5,28.0,0.0,16.8,6.7,,44.54
399,放開佢！,fônghōi kěoi ！,120,41.0,17.2,0.0,10.3,4.0,,44.53
400,我哋要搵佢。,ngǒ dei jîu wán kěoi 。,447,46.5,25.4,0.0,15.2,5.7,,44.50
401,我呀妹係護士。,ngǒ āa mui hai wusi 。,665,47.6,28.5,0.0,17.1,4.0,,44.47
402,我冇養貓。,ngǒ mǒu jǒengmāau 。,427,42.9,21.0,0.0,12.6,3.3,,44.46
403,帶佢走。,dâai kěoi záu 。,121,41.2,17.2,0.0,10.3,5.0,,44.41
404,你有冇打火機呀？,něi jǎu mǒu dáafógēi āa ？,923,50.7,31.6,0.0,18.9,7.5,,44.39
405,啲銷售率跌到好犀利。,dī sīusau léotdît dôu hóu sāilei 。,970,52.9,38.2,0.0,22.9,3.1,,44.36
406,我都係咁諗。,ngǒ dōu hai gâm nám 。,225,46.2,25.4,0.0,15.2,5.7,,44.35
407,我係大學生。,ngǒ hai daaihoksāang 。,758,45.5,24.8,0.0,14.8,5.0,,44.34
408,我想辭咗份工佢。,ngǒ sóeng cì zó fan gūng kěoi 。,585,50.8,33.6,0.0,20.1,5.0,,44.34
409,點解係我?,dímgáai hai ngǒ ?,11,43.3,21.0,0.0,12.6,5.0,,44.34
410,呢間屋係我嘅。,nèi gāan ūk hai ngǒ gê 。,470,48.6,29.5,0.0,17.7,5.7,,44.32
